"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","100% (127)","100% (69.8)","100% (90.2)","100% (46.6)","100% (10.6)","100% (36)","NA% (NA)","NA% (NA)","NA% (NA)"
"2","98.5% (168)","100% (76.8)","100% (107)","100% (69.6)","89.3% (21.1)","100% (16.9)","NA% (NA)","NA% (NA)","NA% (NA)"
"3","99.6% (127)","100% (62.4)","100% (80.8)","100% (46.3)","96.9% (17.9)","100% (8.8)","NA% (NA)","NA% (NA)","NA% (NA)"
"4","99.3% (186)","100% (87.2)","100% (134)","100% (85.8)","90.9% (12.1)","100% (35.2)","NA% (NA)","NA% (NA)","NA% (NA)"
"5","98.6% (189)","100% (86.9)","100% (133)","100% (88.1)","83.7% (14.1)","100% (18.6)","NA% (NA)","NA% (NA)","NA% (NA)"
"6","97.6% (190)","100% (84.6)","100% (125)","100% (85.4)","81.1% (19.8)","100% (20.8)","NA% (NA)","NA% (NA)","NA% (NA)"
"7","100% (129)","100% (70.5)","100% (91.6)","100% (46.6)","100% (10.4)","100% (39.8)","NA% (NA)","NA% (NA)","NA% (NA)"
"8","100% (110)","100% (64.1)","100% (80.3)","100% (38)","100% (7.63)","100% (38.4)","NA% (NA)","NA% (NA)","NA% (NA)"
"9","98.8% (185)","100% (84.8)","100% (127)","100% (84.1)","87.4% (15.6)","100% (22.1)","NA% (NA)","NA% (NA)","NA% (NA)"
"10","100% (109)","100% (64.5)","100% (80.3)","100% (36.9)","100% (5.96)","100% (37.6)","NA% (NA)","NA% (NA)","NA% (NA)"
"11","99.7% (148)","100% (74.7)","100% (101)","100% (58.1)","97.8% (14.9)","100% (35.1)","NA% (NA)","NA% (NA)","NA% (NA)"
"12","99.8% (199)","100% (95.7)","100% (164)","100% (101)","NaN% (3.02)","100% (11)","NA% (NA)","NA% (NA)","NA% (NA)"
