coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
1849244,https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0036/ASU0036495_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0036/ASU0036495_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0036/ASU0036495_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0036/ASU0036495.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:2ba6efa7-a2f3-40f9-b2ce-946f19cf4a72,"2012-06-26 11:53:50",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1849244,StillImage,Photograph,en
1849245,https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0036/ASU0036496_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0036/ASU0036496_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0036/ASU0036496_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0036/ASU0036496.jpg,,"Arizona State University Vascular Plant Herbarium (ASU-Plants)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:0a7b3cf2-7782-4be6-a369-91c4b3c55cd0,"2012-06-26 11:53:51",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=1849245,StillImage,Photograph,en
2067084,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00041/DES00041126_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00041/DES00041126_lg.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00041/DES00041126_tn.jpg,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00041/DES00041126.jpg,,"Desert Botanical Garden Herbarium (DES)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:c0147b18-f786-488e-b28c-1c8873559d00,"2012-03-14 14:22:22",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=2067084,StillImage,Photograph,en
3535871,https://bisque.cyverse.org/image_service/image/00-aUa6GV48yGLFGgPRCCch2D/resize:4000/format:jpeg,https://bisque.cyverse.org/image_service/image/00-aUa6GV48yGLFGgPRCCch2D/resize:4000/format:jpeg,"https://bisque.cyverse.org/image_service/image/00-aUa6GV48yGLFGgPRCCch2D/thumbnail:200,200",https://bisque.cyverse.org/image_service/image/00-aUa6GV48yGLFGgPRCCch2D/resize:1250/format:jpeg,,"San Diego State University Herbarium (SDSU)","CC BY (Attribution)",http://creativecommons.org/licenses/by/3.0/,,,urn:uuid:12212fa1-0965-48a9-8fd8-bf259ef06552,"2020-03-21 10:17:21",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=3535871,StillImage,Photograph,en
12383809,http://purl.dlib.indiana.edu/iudl/herbarium/full/IND-0061762,http://purl.dlib.indiana.edu/iudl/herbarium/full/IND-0061762,https://storage.idigbio.org/portals/seinet/midwest/IND/IND-0061/IND-0061762_1485609752_tn.jpg,https://storage.idigbio.org/portals/seinet/midwest/IND/IND-0061/IND-0061762_1485609752_web.jpg,,"The Trustees of Indiana University","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:e9b997e3-2c91-4650-8a15-60a265a9c999,"2017-01-27 06:10:08",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=12383809,StillImage,Photograph,en
13953304,https://botanydb.colorado.edu/COLO_V/00993/00993691.jpg,https://botanydb.colorado.edu/COLO_V/00993/00993691.jpg,https://botanydb.colorado.edu/COLO_V/00993/00993691_tn.jpg,https://botanydb.colorado.edu/COLO_V/00993/00993691.jpg,,"University of Colorado Museum of Natural History Herbarium Vascular Plant Collection (COLO-V)","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,,,urn:uuid:d7254067-748d-460c-85af-fa6c0eee3216,"2017-05-18 09:35:55",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=13953304,StillImage,Photograph,en
14965421,http://sweetgum.nybg.org/images3/508/851/01164651.jpg,http://sweetgum.nybg.org/images3/508/851/01164651.jpg,http://sweetgum.nybg.org/images3/508/851/01164651.thumb.jpg,,,"New York Botanical Garden Steere Herbarium (NY)","CC BY (Attribution)",http://creativecommons.org/licenses/by/3.0/,,,urn:uuid:adde2c32-cfd6-42bc-9af9-5a4e4d001b72,"2017-06-20 15:41:04",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=14965421,StillImage,Photograph,en
18880780,http://cdn.flmnh.ufl.edu/Herbarium/jpg/238/238632a1.jpg,http://cdn.flmnh.ufl.edu/Herbarium/jpg/238/238632a1.jpg,https://swbiodiversity.org/imglib/seinet/sernec/FLAS/00238/238632a1_1600023197_tn.jpg,https://swbiodiversity.org/imglib/seinet/sernec/FLAS/00238/238632a1_1600023197_web.jpg,,"University of Florida","CC BY-NC (Attribution-Non-Commercial)",http://creativecommons.org/licenses/by-nc/3.0/,"UF Herbarium specimen (FLAS 238632) of: Quercus cedrosensis (Fagaceae)",,urn:uuid:02fa6465-733c-4f78-8409-fea776192d3b,"2020-08-31 12:12:19",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=18880780,StillImage,Photograph,en
19187613,https://api.idigbio.org/v2/media/97c32291d85bdd15934af3697e12faeb,https://api.idigbio.org/v2/media/97c32291d85bdd15934af3697e12faeb,https://api.idigbio.org/v2/media/97c32291d85bdd15934af3697e12faeb?size=thumbnail,https://api.idigbio.org/v2/media/97c32291d85bdd15934af3697e12faeb?size=webview,,"Santa Barbara Botanic Garden, Clifton Smith Herbarium (SBBG)","CC0 1.0 (Public-domain)",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:95836556-0db8-43cc-acdc-f5ea204d4d80,"2020-12-10 07:46:34",image/jpeg,https://swbiodiversity.org/seinet/collections/individual/index.php?occid=19187613,StillImage,Photograph,en
