Source,Species,Longitude,Latitude
GBIF,Quercus georgiana M. A. Curtis,-85.29028,33.01556
GBIF,Quercus georgiana,-84.733471,32.827737
GBIF,Quercus georgiana,-84.172287,33.644648
GBIF,Quercus georgiana M.A.Curtis,-84.172084,33.802741
GBIF,Quercus georgiana M.A.Curtis,-84.1702,33.80816
GBIF,Quercus georgiana M.A.Curtis,-84.1702,33.80816
GBIF,Quercus georgiana,-84.156692,33.821624
GBIF,Quercus georgiana M.A. Curtis,-84.150833,33.808056
GBIF,Quercus georgiana M.A.Curtis,-84.14918,33.80561
GBIF,Quercus georgiana M.A. Curtis,-84.14583,33.80611
GBIF,Quercus georgiana M.A. Curtis,-84.14583,33.80611
GBIF,Quercus georgiana M.A. Curtis,-84.14583,33.80611
GBIF,Quercus georgiana M.A.Curtis,-84.1453,33.8056
GBIF,Quercus georgiana M.A.Curtis,-84.1453,33.8056
GBIF,Quercus georgiana,-84.145174,33.694017
GBIF,Quercus georgiana,-84.141274,33.658686
GBIF,Quercus georgiana,-84.130857,33.859156
GBIF,Quercus georgiana M.A.Curtis,-84.105194,33.71233
GBIF,Quercus georgiana,-84.083532,33.83952
GBIF,Quercus georgiana M.A.Curtis,-84.07588,33.8123
GBIF,Quercus georgiana,-84.040091,33.745754
GBIF,Quercus georgiana,-84.025429,33.680213
GBIF,Quercus georgiana,-84.005384,33.861763
GBIF,Quercus georgiana,-84.000706,33.984105
GBIF,Quercus georgiana,-83.975645,33.606545
GBIF,Quercus georgiana,-83.907154,33.66883
GBIF,Quercus georgiana,-83.888818,33.717998
GBIF,Quercus georgiana,-83.828227,33.754712
GBIF,Quercus georgiana M. A. Curtis,-2.156,43.255001
