Species,Longitude,Latitude
Quercus graciliformis,-100.325,23.591667
Quercus graciliformis,-99.016065,23.648299
Quercus graciliformis,-99.958333,24.741667
Quercus graciliformis,-100.31667,25.58333
Quercus graciliformis,-100.316667,25.583333
Quercus graciliformis,-100.356111,25.613333
Quercus graciliformis,-103.331247,29.096229
Quercus graciliformis,-103.235851,29.225791
Quercus graciliformis,-103.32172,29.22944
Quercus graciliformis,-103.32089,29.23271
Quercus graciliformis,-103.3207,29.23271
Quercus graciliformis,-103.321,29.23272
Quercus graciliformis,-103.32078,29.23273
Quercus graciliformis,-103.32163,29.23283
Quercus graciliformis,-103.32129,29.23287
Quercus graciliformis,-103.32209,29.23295
Quercus graciliformis,-103.32246,29.23304
Quercus graciliformis,-103.32233,29.23305
Quercus graciliformis,-103.29403,29.24788
Quercus graciliformis,-103.200612,29.333277
Quercus graciliformis,-103.317956,29.392263
Quercus graciliformis C. H. Müll.,-99.170653,31.391533
Quercus graciliformis C.H. Mull.,-99.83056,24.75
Quercus graciliformis f. parvilobata C. H. Müll.,-99.170653,31.391533
Quercus graciliformis f. parvilobata C. H. Müll.,-99.170653,31.391533
